CustomerId,First Name,Last Name,Sex,Phone,Addressline1,city,state,postcode,Lat,Lon
12346,Enzo,Young,M,(808) 246-1599,3-3300 Kuhio Hwy, Lihue, HI,96766,-159.36503,21.9823371
12347,Kamryn,Grant,F,(808) 688-0066,94-595 Kupuohi St, Waipahu, HI,96797,-158.0346296,21.3913893
12348,Antwan,Walsh,M,(808) 623-6744,95-550 Lanikuhana Avenue, Mililani, HI,96789,-158.0055984,21.4499507
12349,Cruz,White,M,(808) 334-0466,75-1015 Henry Street, Kailua Kona, HI,96740,-155.9909584,19.6462559
12350,River,Grant,M,(808) 961-9115,325 Makaala St, Hilo, HI,96720,-155.0620048,19.7001161
12352,Amya,Pena,F,907 395 0971,KENAI SPUR & MARATHON RD.,KENAI,AK,99611,-151.3800425,60.7034833
12353,Blaine,Brennan,M,(907) 563-5900,3101 A Street, Anchorage, AK,99503,-149.8795023,61.1923981
12354,Devon,Copeland,M,(907) 344-5300,8900 Old Seward Hwy, Anchorage, AK,99515,-149.8699692,61.1402281
12355,Karli,Jefferson,F,907 344 5300,8900 OLD SEWARD HWY,ANCHORAGE,AK,99515,-149.8699692,61.1402281
12356,Carter,Skinner,M,(907) 694-9780,18600 Eagle River Road, Eagle River, AK,99577,-149.5355302,61.3090716
12357,Caden,Pope,M,907 694 9780,18600 EAGLE RIVER RD,EAGLE RIVER,AK,99577,-149.5355302,61.3090716
12358,Nora,Mejia,F,(907) 376-9780,1350 S Seward Meridian Pkwy, Wasilla, AK,99654,-149.3650092,61.568756
12359,Stella,Saunders,F,907 376 9780,1350 S SEWARD MERIDIAN PKWY,WASILLA,AK,99654,-149.3650092,61.568756
12360,River,Dixon,M,907 451 9900,537 JOHANSEN EXPY,FAIRBANKS,AK,99701,-147.6894993,64.8563874
12361,Nathalie,Delacruz,F,(541) 888-5488,2051 Newmark Avenue, Coos Bay, OR,97420,-124.2521168,43.3896045
12362,Diana,Lindsey,F,(707) 464-1198,900 E Washington Blvd, Crescent City, CA,95531,-124.1899108,41.7749568
12363,Paloma,Kent,F,(541) 265-6560,160 Nw 25th Street, Newport, OR,97365,-124.0544187,44.6567286
12364,Glenn,Dorsey,M,(541) 957-8550,2125 N.W. Stewart Parkway, Roseburg, OR,97470,-123.3688373,43.2353737
12365,Joaquin,Forbes,M,(360) 452-1244,3500 Hwy 101, Port Angeles, WA,98362,-123.3594797,48.1072903
12367,Elaine,Giles,F,(503) 623-0490,321 Ne Kings Valley Hwy, Dallas, OR,97338,-123.3067058,44.9315409
12370,Abby,Strong,F,(541) 471-2822,135 N.E. Terry Lane, Grants Pass, OR,97526,-123.3021695,42.4342828
12371,Hailie,Stevenson,F,(707) 468-0258,1155 Airport Park Blvd, Ukiah, CA,95482,-123.1970321,39.1337295
12372,Johnny,Mitchell,M,(503) 434-9233,2375 North 99 West, Mcminnville, OR,97128,-123.174273,45.2304276
12373,Serenity,Miles,F,(360) 427-6226,100 E Wallace Kneeland Bvld, Shelton, WA,98584,-123.1256876,47.2330733
12374,Mathew,Colon,M,360 427 6226,100 E WALLACE KNEELAND BLVD,SHELTON,WA,98584,-123.1256876,47.2330733
